"","goslim_names","n","species"
"1","anatomical structure development",1767,"dermasterias"
"2","antioxidant activity",28,"dermasterias"
"3","carbohydrate metabolic process",265,"dermasterias"
"4","cell differentiation",981,"dermasterias"
"5","circulatory system process",227,"dermasterias"
"6","cytokinesis",58,"dermasterias"
"7","defense response to other organism",215,"dermasterias"
"8","detoxification",37,"dermasterias"
"9","digestive system process",34,"dermasterias"
"10","endocrine process",12,"dermasterias"
"11","extracellular matrix organization",120,"dermasterias"
"12","immune system process",573,"dermasterias"
"13","inflammatory response",145,"dermasterias"
"14","lipid binding",421,"dermasterias"
"15","muscle system process",91,"dermasterias"
"16","nervous system process",505,"dermasterias"
"17","reproductive process",693,"dermasterias"
"18","toxin activity",9,"dermasterias"
"19","virus receptor activity",24,"dermasterias"
"20","wound healing",72,"dermasterias"
