goslim_names,n
organelle,4905
catalytic activity,3550
plasma membrane,2241
nucleus,2054
cytosol,2038
anatomical structure development,1767
transferase activity,1504
hydrolase activity,1445
"catalytic activity, acting on a protein",1421
nucleoplasm,1371
cell differentiation,981
regulation of DNA-templated transcription,965
cytoplasmic vesicle,919
lipid metabolic process,851
transporter activity,833
molecular function regulator activity,828
DNA binding,762
molecular transducer activity,710
reproductive process,693
molecular adaptor activity,671
mitochondrion,669
transmembrane transport,658
vesicle-mediated transport,657
RNA binding,596
immune system process,573
Golgi apparatus,565
endoplasmic reticulum,553
carbohydrate derivative metabolic process,536
microtubule organizing center,523
extracellular region,512
nervous system process,505
transcription regulator activity,504
protein-containing complex assembly,495
cell motility,481
cytoskeleton organization,479
cytoskeletal protein binding,470
oxidoreductase activity,456
endosome,451
cell adhesion,435
protein catabolic process,434
lipid binding,421
extracellular space,415
ATP-dependent activity,402
cytoskeleton,393
nucleolus,371
cilium,360
membrane organization,347
chromatin organization,344
programmed cell death,326
signaling,325
vacuole,318
nucleobase-containing small molecule metabolic process,309
isomerase activity,307
intracellular protein transport,301
DNA repair,298
microtubule-based movement,295
mRNA metabolic process,277
lysosome,269
carbohydrate metabolic process,265
cell junction organization,246
circulatory system process,227
"catalytic activity, acting on RNA",221
cilium organization,218
external encapsulating structure,216
defense response to other organism,215
structural molecule activity,208
extracellular matrix,206
glycoprotein biosynthetic process,197
sulfur compound metabolic process,183
"catalytic activity, acting on DNA",176
amino acid metabolic process,173
chromosome,170
protein maturation,159
autophagy,157
GTPase activity,151
inflammatory response,145
DNA recombination,132
lyase activity,126
nucleocytoplasmic transport,123
extracellular matrix organization,120
nuclear envelope,114
DNA-templated transcription,113
mitochondrion organization,110
protein localization to plasma membrane,109
tRNA metabolic process,109
modified amino acid metabolic process,108
generation of precursor metabolites and energy,104
cytoskeletal motor activity,101
establishment or maintenance of cell polarity,94
ligase activity,93
muscle system process,91
peroxisome,90
mitotic cell cycle,89
histone binding,87
receptor ligand activity,82
protein folding,76
lipid droplet,74
wound healing,72
DNA replication,58
cytokinesis,58
cargo receptor activity,55
chromosome segregation,54
telomere organization,54
regulatory ncRNA-mediated gene silencing,53
lysosome organization,52
molecular sensor activity,48
renal system process,45
molecular carrier activity,41
cell adhesion mediator activity,37
detoxification,37
ribosome,35
digestive system process,34
meiotic nuclear division,33
protein folding chaperone,32
snRNA metabolic process,31
molecular sequestering activity,30
nuclear chromosome,30
antioxidant activity,28
cyclase activity,25
virus receptor activity,24
cytoplasmic translation,23
mitochondrial gene expression,21
vitamin metabolic process,20
peroxisome organization,17
translation regulator activity,17
ribosome biogenesis,16
general transcription initiation factor activity,15
endocrine process,12
respiratory system process,12
cell wall organization or biogenesis,10
toxin activity,9
nitrogen cycle metabolic process,8
plastid,8
protein tag activity,5
mitotic nuclear division,3
cell wall,1
