"","goslim_names","n","species"
"1","anatomical structure development",1767,"dermasterias"
"2","antioxidant activity",28,"dermasterias"
"3","carbohydrate metabolic process",265,"dermasterias"
"4","cell differentiation",981,"dermasterias"
"5","circulatory system process",227,"dermasterias"
"6","cytokinesis",58,"dermasterias"
"7","defense response to other organism",215,"dermasterias"
"8","detoxification",37,"dermasterias"
"9","digestive system process",34,"dermasterias"
"10","endocrine process",12,"dermasterias"
"11","extracellular matrix organization",120,"dermasterias"
"12","immune system process",573,"dermasterias"
"13","inflammatory response",145,"dermasterias"
"14","lipid binding",421,"dermasterias"
"15","muscle system process",91,"dermasterias"
"16","nervous system process",505,"dermasterias"
"17","reproductive process",693,"dermasterias"
"18","toxin activity",9,"dermasterias"
"19","virus receptor activity",24,"dermasterias"
"20","wound healing",72,"dermasterias"
"21","anatomical structure development",1832,"pisaster"
"22","antioxidant activity",34,"pisaster"
"23","carbohydrate metabolic process",282,"pisaster"
"24","cell differentiation",1103,"pisaster"
"25","circulatory system process",223,"pisaster"
"26","cytokinesis",51,"pisaster"
"27","defense response to other organism",345,"pisaster"
"28","detoxification",35,"pisaster"
"29","digestive system process",29,"pisaster"
"30","endocrine process",10,"pisaster"
"31","extracellular matrix organization",160,"pisaster"
"32","immune system process",738,"pisaster"
"33","inflammatory response",133,"pisaster"
"34","lipid binding",432,"pisaster"
"35","muscle system process",93,"pisaster"
"36","nervous system process",524,"pisaster"
"37","reproductive process",686,"pisaster"
"38","toxin activity",19,"pisaster"
"39","virus receptor activity",16,"pisaster"
"40","wound healing",83,"pisaster"
"41","anatomical structure development",1643,"pycnopodia"
"42","antioxidant activity",34,"pycnopodia"
"43","carbohydrate metabolic process",231,"pycnopodia"
"44","cell differentiation",945,"pycnopodia"
"45","circulatory system process",184,"pycnopodia"
"46","cytokinesis",45,"pycnopodia"
"47","defense response to other organism",241,"pycnopodia"
"48","detoxification",25,"pycnopodia"
"49","digestive system process",29,"pycnopodia"
"50","endocrine process",10,"pycnopodia"
"51","extracellular matrix organization",133,"pycnopodia"
"52","immune system process",572,"pycnopodia"
"53","inflammatory response",114,"pycnopodia"
"54","lipid binding",371,"pycnopodia"
"55","muscle system process",73,"pycnopodia"
"56","nervous system process",498,"pycnopodia"
"57","reproductive process",667,"pycnopodia"
"58","toxin activity",13,"pycnopodia"
"59","virus receptor activity",16,"pycnopodia"
"60","wound healing",60,"pycnopodia"
