goslim_names,n
organelle,5479
catalytic activity,3777
nucleus,2596
plasma membrane,2501
cytosol,2180
anatomical structure development,1832
"catalytic activity, acting on a protein",1640
transferase activity,1631
hydrolase activity,1619
nucleoplasm,1556
regulation of DNA-templated transcription,1206
DNA binding,1119
cell differentiation,1103
molecular transducer activity,1010
molecular function regulator activity,942
cytoplasmic vesicle,848
lipid metabolic process,843
transporter activity,779
RNA binding,759
mitochondrion,750
immune system process,738
molecular adaptor activity,728
extracellular region,714
extracellular space,687
reproductive process,686
vesicle-mediated transport,648
transcription regulator activity,603
protein-containing complex assembly,593
endoplasmic reticulum,588
transmembrane transport,580
carbohydrate derivative metabolic process,569
Golgi apparatus,554
cell motility,536
microtubule organizing center,536
nervous system process,524
cell adhesion,512
cytoskeleton organization,494
cytoskeletal protein binding,491
protein catabolic process,461
oxidoreductase activity,446
endosome,439
ATP-dependent activity,434
lipid binding,432
structural molecule activity,418
cytoskeleton,401
chromatin organization,397
nucleolus,378
programmed cell death,373
mRNA metabolic process,364
cilium,362
DNA repair,360
signaling,360
defense response to other organism,345
isomerase activity,333
external encapsulating structure,329
membrane organization,327
nucleobase-containing small molecule metabolic process,324
cell junction organization,320
extracellular matrix,309
"catalytic activity, acting on RNA",302
intracellular protein transport,296
vacuole,293
carbohydrate metabolic process,282
microtubule-based movement,280
"catalytic activity, acting on DNA",257
lysosome,244
cilium organization,231
DNA recombination,225
circulatory system process,223
nucleocytoplasmic transport,201
chromosome,200
DNA-templated transcription,189
amino acid metabolic process,188
glycoprotein biosynthetic process,186
autophagy,169
sulfur compound metabolic process,161
extracellular matrix organization,160
protein maturation,159
lyase activity,137
inflammatory response,133
receptor ligand activity,132
GTPase activity,128
generation of precursor metabolites and energy,128
nuclear envelope,122
regulatory ncRNA-mediated gene silencing,120
mitochondrion organization,114
protein localization to plasma membrane,107
tRNA metabolic process,106
ligase activity,105
mitotic cell cycle,101
muscle system process,93
establishment or maintenance of cell polarity,92
peroxisome,90
histone binding,89
telomere organization,88
modified amino acid metabolic process,83
wound healing,83
cargo receptor activity,74
DNA replication,70
cytoskeletal motor activity,68
protein folding,67
chromosome segregation,63
cell adhesion mediator activity,61
lipid droplet,56
molecular sensor activity,52
cytokinesis,51
lysosome organization,51
molecular carrier activity,48
nuclear chromosome,47
renal system process,46
cyclase activity,39
meiotic nuclear division,39
detoxification,35
antioxidant activity,34
snRNA metabolic process,34
protein folding chaperone,32
ribosome,31
cytoplasmic translation,29
digestive system process,29
molecular sequestering activity,27
vitamin metabolic process,24
general transcription initiation factor activity,23
translation regulator activity,20
toxin activity,19
peroxisome organization,18
virus receptor activity,16
mitochondrial gene expression,15
ribosome biogenesis,15
cell wall organization or biogenesis,12
respiratory system process,12
plastid,11
endocrine process,10
nitrogen cycle metabolic process,9
cell wall,7
protein tag activity,6
mitotic nuclear division,4
thylakoid,1
