"","goslim_names","n","species"
"1","anatomical structure development",1643,"pycnopodia"
"2","antioxidant activity",34,"pycnopodia"
"3","carbohydrate metabolic process",231,"pycnopodia"
"4","cell differentiation",945,"pycnopodia"
"5","circulatory system process",184,"pycnopodia"
"6","cytokinesis",45,"pycnopodia"
"7","defense response to other organism",241,"pycnopodia"
"8","detoxification",25,"pycnopodia"
"9","digestive system process",29,"pycnopodia"
"10","endocrine process",10,"pycnopodia"
"11","extracellular matrix organization",133,"pycnopodia"
"12","immune system process",572,"pycnopodia"
"13","inflammatory response",114,"pycnopodia"
"14","lipid binding",371,"pycnopodia"
"15","muscle system process",73,"pycnopodia"
"16","nervous system process",498,"pycnopodia"
"17","reproductive process",667,"pycnopodia"
"18","toxin activity",13,"pycnopodia"
"19","virus receptor activity",16,"pycnopodia"
"20","wound healing",60,"pycnopodia"
