goslim_names,n
organelle,4577
catalytic activity,3284
plasma membrane,2111
nucleus,1972
cytosol,1927
anatomical structure development,1643
transferase activity,1401
"catalytic activity, acting on a protein",1358
hydrolase activity,1356
nucleoplasm,1341
regulation of DNA-templated transcription,959
cell differentiation,945
molecular function regulator activity,783
DNA binding,770
cytoplasmic vesicle,739
molecular transducer activity,717
lipid metabolic process,711
transporter activity,694
reproductive process,667
mitochondrion,648
vesicle-mediated transport,610
molecular adaptor activity,591
RNA binding,575
immune system process,572
transmembrane transport,543
protein-containing complex assembly,518
transcription regulator activity,500
endoplasmic reticulum,498
nervous system process,498
microtubule organizing center,495
extracellular region,494
carbohydrate derivative metabolic process,493
cell motility,480
Golgi apparatus,475
extracellular space,464
cytoskeletal protein binding,444
cytoskeleton organization,442
ATP-dependent activity,424
protein catabolic process,409
endosome,400
cell adhesion,395
oxidoreductase activity,394
cytoskeleton,382
lipid binding,371
nucleolus,352
cilium,337
chromatin organization,333
isomerase activity,328
DNA repair,316
membrane organization,308
microtubule-based movement,296
programmed cell death,295
intracellular protein transport,293
nucleobase-containing small molecule metabolic process,293
mRNA metabolic process,286
signaling,285
cell junction organization,266
vacuole,263
defense response to other organism,241
external encapsulating structure,240
"catalytic activity, acting on RNA",236
carbohydrate metabolic process,231
cilium organization,224
extracellular matrix,222
lysosome,216
"catalytic activity, acting on DNA",190
circulatory system process,184
structural molecule activity,176
autophagy,170
glycoprotein biosynthetic process,166
sulfur compound metabolic process,157
chromosome,154
DNA recombination,148
protein maturation,142
amino acid metabolic process,141
nucleocytoplasmic transport,140
extracellular matrix organization,133
nuclear envelope,118
mitochondrion organization,117
DNA-templated transcription,116
GTPase activity,116
cytoskeletal motor activity,114
inflammatory response,114
generation of precursor metabolites and energy,110
lyase activity,104
protein localization to plasma membrane,101
tRNA metabolic process,101
modified amino acid metabolic process,95
histone binding,94
ligase activity,94
mitotic cell cycle,93
establishment or maintenance of cell polarity,83
receptor ligand activity,79
peroxisome,77
muscle system process,73
regulatory ncRNA-mediated gene silencing,70
DNA replication,69
wound healing,60
protein folding,59
telomere organization,53
lipid droplet,51
lysosome organization,49
cytokinesis,45
cell adhesion mediator activity,43
meiotic nuclear division,43
chromosome segregation,41
molecular sensor activity,41
renal system process,41
ribosome,36
antioxidant activity,34
cyclase activity,32
cargo receptor activity,31
molecular carrier activity,31
cytoplasmic translation,29
digestive system process,29
snRNA metabolic process,29
molecular sequestering activity,26
nuclear chromosome,26
detoxification,25
general transcription initiation factor activity,22
respiratory system process,21
protein folding chaperone,20
mitochondrial gene expression,18
translation regulator activity,17
vitamin metabolic process,17
virus receptor activity,16
peroxisome organization,13
ribosome biogenesis,13
toxin activity,13
endocrine process,10
plastid,8
nitrogen cycle metabolic process,7
protein tag activity,6
mitotic nuclear division,4
cell wall organization or biogenesis,3
